Prompt,Type,Orientation,Filtered,Unnamed: 4,Unnamed: 5,Unnamed: 6
"Ultra realistic photo, princess peach in the mushroom kingdom, beautiful face, intricate, highly detailed, smooth, sharp focus, art by artgerm and greg rutkowski and alphonse mucha",portrait,square,princess peach in the mushroom kingdom,,portrait,10.0
"A Photograph of Cumulus Clouds emerging from a teacup, photo booth, skylight, soft shadows, depth of field, canon, f 1.8, 35mm",other,square,A Photograph of Cumulus Clouds emerging from a teacup,,landscape,10.0
"beautiful rapunzel, wedding dress, beautiful face, intricate, highly detailed, 8k, textured, sharp focus, art by artgerm and greg rutkowski and alphonse mucha",portrait,square,"rapunzel, wedding dress",,interior,10.0
"night, the ocean, the milk way galaxy. highly detailed painting by gaston bussiere, greg Rutkowski, 8K",landscape,album,"night, the ocean, the milk way galaxy",,buildings,10.0
"adorable spacer woman, with Symmetric features, curly(changed to taste through gens) hair with realistic proportions, wearing rugged and torn workers clothes, award winning portrait, digital art, Dramatic cinematic, soft focus, depth of field, by artgerm and ross tran",portrait,square,"spacer woman, with Symmetric features, curly(changed to taste through gens) hair with realistic proportions, wearing rugged and torn workers clothes",,animals,10.0
"the river of time glowing in the dark, beautiful artwork, trending on artstation, high resolution, ultra detailed, 8k, super realistic, intricate, unreal engine render, fantasy art",landscape,portrait,the river of time glowing in the dark,,other,10.0
Computer repair. Woman building a dieselpunk computer. Glowing screens. Huge dieselpunk computer. Dark. Shadow. Light bloom. Cinematic. Dramatic. By Greg Rutkowski,interior,album,Computer repair. Woman building a dieselpunk computer. Glowing screens. Huge dieselpunk computer,,,
"Blonde-haired beautiful Warrior Queen, in fantasy armor, with Iron crown, cross symbolism, with a fit body, dark forest background, hopeful light, photorealistic, painted by artgerm, Akihiko yoshida, sakimichan, krenz cushart, low angle shot, digital painting",portrait,portrait,"Blonde-haired beautiful Warrior Queen, in fantasy armor, with Iron crown, cross symbolism, with a fit body, dark forest background",,,
"Neil Blevins, Lee Madgwick intricate colorful steampunk city levitating above a large ocean by Cyril Rolando, Monolithic Art, Massive Complex levitating steampunk city with castles, Gravitational Anomaly, vibrantcolors, digital, Detailed Surrealism, awardwinning",buildings,album,steampunk city levitating above a large ocean,,,
"A Photo of Astronomers studying the night sky with a telescope inside Observatory, dim volumentric lighting, 8k, post-processing, soft painting, concept art, artstation, by tom bagshaw and daniel gerhartz and albert aublet and lawrence alma-tadema and alphonse mucha",interior,album,A Photo of Astronomers studying the night sky with a telescope inside Observatory,,,
"The Highland Cow is a beautiful animal, nature photography, Hasselblad, sharp focus, low angle, landscape photography by Max Rive",animals,album,The Highland Cow is a beautiful animal,,,
"X-Wing over Manhattan. 8k, concept art, trending on artstation, atmospheric lighting, fantasy, detailed, award winning, high quality",buildings,album,X-Wing over Manhattan,,,
"A Dark, Spooky and gloomy Haunted kitchen with lot of dried fruits and dried vegetables , cinematic lighting, artistic, horrific, Intricate details, ultra real, apocalyptic setting, ethereal world",interior,portrait,"A Dark, Spooky and gloomy Haunted kitchen with lot of dried fruits and dried vegetables",,,
"Mars landscape futurstic city, elegant atmosphere, glowing lights, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by wlop, mars ravelo and greg rutkowski",buildings,square,Mars landscape futurstic city,,,
"a beach full of trash and dead animals, whales, fish, dark atmosphere, waves, water, trending on artstation, greg rutkowski, highly detailed",landscape,square,"a beach full of trash and dead animals, whales, fish",,,
Photograph. Mordor photo. Manhattan photo. Barad Dur. Dark cinematic lighting. God rays. Light bloom. Shadow. Fear. Cursed. Greg Rutkowski. Award winning. 8K. High resolution. Apocalyptic.,buildings,portrait,Photograph. Mordor photo. Manhattan photo,,,
"sleeping cute baby turtle, under the sea, realistic lighting, blur, 8K, high detail, high resolution",animals,album,"sleeping cute baby turtle, under the sea",,,
"painting of a vast gothic library, intricate!, expansive!!, monks, stacks of books, candle light, stair cases, highly detailed!!, fantasy, 4K, by artgerm, Greg Rutkowski, Alphonse Mucha",interior,square,painting of a vast gothic library,,,
"jama jurabaev trending on artstation, Tomas Osang Muir trending on artstation, cel shaded, cinematic shot, trending on artstation, high quality, brush stroke, vibrant colors, detailed, 8k resolution, realisitc ligthing, a beautiful comfortable survival shelter made out of a container home with an attached garden and a small tent extension on the side, exterior walls are made of transparent material allowing light to pass through, Yosemite national park green meadows with beautiful big redwood trees on the edge, Mountains in the background and a creek running calmly through the meadow, Blue hour and a visible milkyway in the sky",landscape,album,"a comfortable survival shelter made out of a container home with an attached garden and a small tent extension on the side, exterior walls are made of transparent material allowing light to pass through, Yosemite national park green meadows with beautiful big redwood trees on the edge, Mountains in the background and a creek running calmly through the meadow, Blue hour and a visible milkyway in the sky",,,
"Priests gathering at aztec pyramid in jungle by ludwig deutsch and rudolf ernst, strong dramatic cinematic lighting, lost civilizations, smooth, sharp focus, extremely detailed",buildings,album,Priests gathering at aztec pyramid in jungle,,,
"Arab man light beard, curly hair, swordsman, modern, hero, leather, yellow and charcoal, character concept art, costume design, trending on artstation, artgerm, wlop",portrait,portrait,"Arab man light beard, curly hair, swordsman",,,
"Portrait of beautiful angel, d & d, face, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and greg rutkowski and alphonse mucha",portrait,album,Portrait of beautiful angel,,,
"Cabela's beautiful comfortable modular insulated wall kit - house all weather family dwelling tent house, person in foreground, mountainous forested wilderness open fields, beautiful views, painterly concept art, joanna gaines, environmental concept art, farmhouse, magnolia, concept art illustration, by james gurney, by craig mullins, by greg rutkowski trending on artstation",landscape,album,"Cabela's beautiful comfortable modular insulated wall kit - house all weather family dwelling tent house, person in foreground, mountainous forested wilderness open fields",,,
"A mountain in the shape of wolf dental arch, terrifying, environment art, fantasy art, landscape art, in the style of greg rutkowski, illustration, epic, fantasy, intricate, hyper detailed, artstation, concept art, smooth, sharp focus, ray tracing",landscape,portrait,A mountain in the shape of wolf dental arch,,,
"A highly detailed epic cinematic concept art cg render digital painting artwork: tokyo city market. by greg rutkowski, in the style of francis bacon and syd mead and norman rockwell and beksinski, open ceiling, highly detailed, painted by francis bacon and edward hopper, painted by james gilleard, surrealism, airbrush, ilya kuvshinov, wlop, stanley artgerm, very coherent, triadic color scheme, art by takato yamamoto and james jean",buildings,portrait,tokyo city market,,,
"A human skull floating in deep dark murky water!!!, underwater atmospheric moody, dark surreal mood! cinematic volumetric lights, bust portrait, dnd, fantasy, intricate, elegant, highly detailed, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm and tom bagshaw and greg rutkowski and alphonse mucha",other,portrait,A human skull floating in deep dark murky water,,,
"Beautiful meadow at sunrise, thin morning fog hovering close to the ground, symmetry, intricate details, raphael lacoste, eddie mendoza, alex ross, concept art, matte painting, highly detailed, rule of thirds, dynamic lighting, cinematic, detailed, denoised, centerd, clean render",landscape,album,"Beautiful meadow at sunrise, thin morning fog hovering close to the ground",,,
"A beautiful painting of pripyat by greg rutkowski and zdzisław beksinski and rene magritte, in style of digital art. hyper detailed, sharp focus, soft light. unreal engine 5. ray tracing. trending on artstation",buildings,square,painting of pripyat,,,
"Post apocalyptic shopping center, raining, building, avenue, modern contemporary urban americana concrete architecture, paved roads, by thomas kinkade, pascal blanche, greg rutkowski, shaddy safadi, neil blevins trending on artstation, photorealistic, neon ambiance, ultra detailed, high definition, depth of field, bokeh, wild vegetation, blood stains, crumbling, post - apocalyptic warriors",buildings,album,"Post apocalyptic shopping center, raining, building, avenue",,,
Fallout concept art school interior render grim realistic lighting unreal engine 5,interior,square,Fallout interior render,,,
"Vampires fighting in a party in the interior of gothic dark castle, red pool fountain, louis xv furniture, torch lighting",interior,square,"Vampires fighting in a party in the interior of gothic dark castle, red pool fountain, louis xv furniture",,,
"A vast indoor growing operation on the edge of space, in a massive cavernous iron city, dappled light, tudor architecture, flags, colossal arcing metal structures high in the cavernous metal interior, sci - fi, beautiful, awe inspiring, by james gurney, greg rutkowski, sparth, thomas kinkaide, cinematography, cinematic masterpiece",interior,album,"A vast indoor growing operation on the edge of space, in a massive cavernous iron city",,,
"Steampunk greenhouse interior, colorful, 3 d scene, render, greg rutkowski, zabrocki, karlkka, jayison devadas, trending on artstation, 8 k, ultra wide angle, zenith view, pincushion lens effect",interior,album,Steampunk greenhouse interior,,,
"Portrait of a blue genasi tempest priest by greg rutkowski, d&d character, gradient white to cyan, blue ocean, highly detailed portrait, digital painting, artstation, concept art, smooth, sharp foccus ilustration, artstation hq",portrait,portrait,Portrait of a blue genasi tempest priest,,,
"A portrait of a rough male farmer in world war 2, 1 9 4 0 setting, vivid colors, soft lighting, atmospheric, cinematic, moody, in the style of ilya kuvshinov and range murata, krenz cushart, rule of thirds, oil on canvas, 8 k",portrait,portrait,"A portrait of a rough male farmer in world war 2, 1 9 4 0 setting",,,
"a portrait of a mafia boss in a golden suit, d&d sci-fi, artstation, concept art, highly detailed illustration.”",portrait,square,a portrait of a mafia boss in a golden suit,,,
"4 k wolf portrait, ferns, butterflies, character concept art, oilpainting, cinematic lighting, trending in artstation, cgsociety",animals,portrait,"wolf portrait, ferns, butterflies",,,
"Portrait of a knight, holding a sword, victorian, concept art, detailed face, fantasy, close up face, highly detailed, cinematic lighting, digital art painting by greg rutkowski",portrait,portrait,"Portrait of a knight, holding a sword, victorian",,,
"Winterfell walls gate, lanscape, calm feeling, green grass, clouded, beautiful, clean colors, by marc simonetti",landscape,album,"Winterfell walls gate, lanscape",,,
"Dream fantasy in little european town, magic, lanscape, modern, night, dusk, neon lights, perspective, street view, art by makoto shinkai",buildings,album,Dream fantasy in little european town,,,
"A gigantic paleolothic torus made of stone with highly detailed carvings of intricate shamanic robotic electronics and circuitry, in a mediterranean lanscape, inside a valley overlooking the sea, in the style of andreas rocha",landscape,square,"gigantic paleolothic torus made of stone with carvings of shamanic robotic electronics and circuitry, in a mediterranean lanscape, inside a valley overlooking the sea",,,
"Cinematic silk road lanscape, rocket ship, space station, science fiction scene, epic lighting, cinematic compositon, hyperrealistic",landscape,album,"silk road lanscape, rocket ship, space station",,,
"Interior of an alien spaceship, highly detailed, digital artwork, octane render",interior,square,Interior of an alien spaceship,,,
"Halo 3 interiors, beautiful lighting, vivid colors, intricate, elegant, smooth, sharp focus, highly detailed digital painting, concept art, cinematic, unreal engine, 4 k wallpaper, art by syd mead, terada katsuya, atey ghailan, svetlin velinov, cgsociety, artstation trending",interior,square,Halo 3 interiors,,,
"Futuristic city center with 890j maglev train in background, modern landscape architectural design for brutalist industrialpunk black and white concrete and glass, train with maroon, white and teal metallic accents, gorgeous lighting, golden hour, cyberpunk, 2077, dramatic lighting and composition, photography, 8k, origin 100i, star citizen concept art, single line, golden ratio, artstation, trending on artstation, minimalistic composition, side profile, tokyo, jr sc maglev, tgv, eurostar",buildings,album,Futuristic city center with 890j maglev train in background,,,
"A potrait of a space fanstasy cat, fine details. night setting. realistic shaded lighting poster by ilya kuvshinov katsuhiro, artgerm, jeremy lipkin and michael garmash, unreal engine, radiant light, detailed and intricate environment, digital art, trending on art station",animals,portrait,A potrait of a space fanstasy cat,,,
"An interstellar cat in a spacesuit, cinematic, 4k, digital art, award winning",animals,square,An interstellar cat in a spacesuit,,,
"5 5 mm portrait photo of an armored demonic undead deer with antlers, in a magical forest looking at the camera. dark atmosphere. art by greg rutkowski and luis royo. highly detailed 8 k. intricate. lifelike. soft light. nikon d 8 5 0.",animals,album,"portrait photo of an armored demonic undead deer with antlers, in a magical forest looking at the camera",,,
Whale spaceship flying near a red dwarf star,animals,square,Whale spaceship flying near a red dwarf star,,,
"A fancy portrait of a monstrous frog covered in blue flames by greg rutkowski, sung choi, mitchell mohrhauser, maciej kuciara, johnson ting, maxim verehin, peter konig, bloodborne, 8k photorealistic, cinematic lighting, hd, high details, atmospheric, trending on artstation",animals,portrait,A portrait of a monstrous frog covered in blue flames,,,
"Vicious dog with three heads, glowing eyes and matted fur, sinister portrait, highly detailed, digital painting, artstation, concept art, matte, sharp focus, illustration, dramatic, cinematic sunset, hearthstone, art by artgerm and greg rutkowski and alphonse mucha",animals,portrait,"Vicious dog with three heads, glowing eyes and matted fur",,,
"A golden tiger resting, dragon body, highly detailed face, close-up, fantasy art, monster art, in the style of greg rutkowski, illustration, epic, fantasy, intricate, hyper detailed, artstation, concept art, smooth, sharp focus, ray tracing",animals,portrait,"A golden tiger resting, dragon body",,,
"Anthropomorphic torus brain in edgy darkiron camel, intricate, elegant, highly detailed animal monster, digital painting, artstation, concept art, smooth, sharp focus, illustration, art by artgerm, dwayne barlowe, trending on artstation and greg rutkowski and alphonse mucha, 8 k",other,portrait,torus brain in edgy darkiron camel,,,
"An isolated apple tree, 3 d render, art nouveau style, ultra realistic, masked transparent flat background, popular on sketchfab, pixelsquid, 8 k, volumetric lighting, super focused, no blur, trending on artstation, octane render, ultra detailed, hyperrealistic, by artgerm and alphonse mucha",other,portrait,An isolated apple tree,,,
"Steampunk helmet fantasy art mask robot ninja stylized digital illustration sharp focus, elegant intricate digital painting artstation concept art global illumination ray tracing advanced technology chaykin howard and campionpascale and cooke darwyn and davis jack",other,portrait,Steampunk helmet mask robot,,,
"Photorealistic heaven made of fruit basket, detailed, centered, digital painting, artstation, concept art, donato giancola, joseph christian leyendecker, wlop, boris vallejo, breathtaking, 8 k resolution, extremely detailed, beautiful, establishing shot, artistic, hyperrealistic, beautiful face, octane render, cinematic lighting, dramatic lighting, masterpiece",other,square,heaven made of fruit basket,,,
"Wrc rally car stylized, design 3 dmax vray maya pixar unreal 5, hyperrealistic, octane render, dynamic lighting, intricate detail, harvest fall vibrancy, cinematic beeple, by thomas kinkade global illumination ray tracing hdr, art gta 5 cover, official fanart behance hd artstation by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, ossdraws, that looks like it is from borderlands and by feng zhu and loish and laurie greasley, victo ngai, andreas rocha, john harris",other,album,Wrc rally car stylized,,,
"American phone booth with antenna in the woods, hyper realism, cinematic, volumetric lighting, octane render, unreal engine, 8 k, concept art, digital art, deviantart artstation",other,portrait,American phone booth with antenna in the woods,,,
"depiction of the beginning of the universe inside a snow globe, surreal, award winning, highly detailed, style by mark rogers, paul bonner, oil on canvas. ”",other,square,depiction of the beginning of the universe inside a snow globe,,,
"Blue flame captured in a bottle, 4 k, photography, highly detailed",other,square,Blue flame captured in a bottle,,,
